ชื่อไฟล์,ประเภท,Google Drive URL,Firebase Storage URL
"36+40.mp3","audio","https://drive.google.com/file/d/1h0wO2ukQuirc0BruvGISqePngDP285Ke/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/36+40.mp3"
"31+35.mp3","audio","https://drive.google.com/file/d/14UBOCDZwvPWz4KjwJdBJDHkpFu30ekpw/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/31+35.mp3"
"26+30.mp3","audio","https://drive.google.com/file/d/184oW4HiQObE1Enkkjm4AHylFYkrNv-04/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/26+30.mp3"
"21+25.mp3","audio","https://drive.google.com/file/d/1UHd5WD7fofnNLtFnxAaLb1fsVka4Qiy4/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/21+25.mp3"
"16+20.mp3","audio","https://drive.google.com/file/d/1wLINlorO0kSYRL0X6sPgkkxEFZ0vxj9y/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/16+20.mp3"
"ChatGPT Image 6 ส.ค. 2569 13_22_23.png","images","https://drive.google.com/file/d/1_ewCY2_mfEHjF28zh7sWQsLPeKMMq-WH/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/images/ChatGPT Image 6 ส.ค. 2569 13_22_23.png"
"11+15.mp3","audio","https://drive.google.com/file/d/12fyQSAaKOHyFlK_BmPcMRq1Gi9nHEoRv/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/11+15.mp3"
"6+10.mp3","audio","https://drive.google.com/file/d/1pM5Mh6b7m3w_2ESQJzjg4LLOasPT3mEN/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/6+10.mp3"
"1+5.mp3","audio","https://drive.google.com/file/d/1Js-T23Sr0N3heHQallvuMGjH7rgnAjeT/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/audio/1+5.mp3"
"ChatGPT Image 5 ส.ค. 2569 20_16_39.png","images","https://drive.google.com/file/d/1Z3tFeVEmLQUfdmhHxP7wGj9_aWhzO3IL/view","https://storage.googleapis.com/my-auth-app-107d1.firebasestorage.app/novels/images/ChatGPT Image 5 ส.ค. 2569 20_16_39.png"
